------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-18 14:54:35 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:35 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 14:54:35 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.186328s.
2024-04-18 14:54:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/a67be914d5a29f5e5c48997f8c437bb424c9e488/load_bmat".
2024-04-18 14:54:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/a67be914d5a29f5e5c48997f8c437bb424c9e488/sanitize".
2024-04-18 14:54:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/a67be914d5a29f5e5c48997f8c437bb424c9e488/metadata".
2024-04-18 14:54:35 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/a67be914d5a29f5e5c48997f8c437bb424c9e488/provenance".
2024-04-18 14:54:36 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:36 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:36 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.034056s.
2024-04-18 14:54:36 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.519042s.
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/c8f4b15a52b97741380e8f60025ff045d641e854/load_bmat".
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/c8f4b15a52b97741380e8f60025ff045d641e854/sanitize".
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/c8f4b15a52b97741380e8f60025ff045d641e854/provenance".
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/c8f4b15a52b97741380e8f60025ff045d641e854/metadata".
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.286888s.
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:37 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.01798s.
2024-04-18 14:54:38 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:38 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 14:54:38 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:38 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.593424s.
2024-04-18 14:54:39 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/21f3b2cf0fc2a38a39d14ad27f9a19e5a36e0658/load_bmat".
2024-04-18 14:54:39 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/21f3b2cf0fc2a38a39d14ad27f9a19e5a36e0658/sanitize".
2024-04-18 14:54:39 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/21f3b2cf0fc2a38a39d14ad27f9a19e5a36e0658/provenance".
2024-04-18 14:54:39 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/21f3b2cf0fc2a38a39d14ad27f9a19e5a36e0658/metadata".
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.179795s.
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/c4067e51eb31ff79e860cf4331ada7cc0f8063f3/load_bmat".
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/c4067e51eb31ff79e860cf4331ada7cc0f8063f3/provenance".
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/c4067e51eb31ff79e860cf4331ada7cc0f8063f3/sanitize".
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/c4067e51eb31ff79e860cf4331ada7cc0f8063f3/metadata".
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.067866s.
2024-04-18 14:54:40 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 15.81479s.
